"","ImageNumber","Image_Metadata_GeneID","Image_Metadata_Plate","Image_Metadata_Well","Signal"
"257",257,"ATN1","P05","C08",529
"258",258,"CNOT2","P05","C09",647
"259",259,"KLF9","P05","C10",729
"260",260,"Neu. ctrl.","P05","C11",738
"261",261,"Neu. ctrl.","P05","D02",766
"262",262,"MEF2C","P05","D03",614
"263",263,"ASB8","P05","D04",774
"264",264,"EPC1","P05","D05",762
"265",265,"Neu. ctrl.","P05","D06",730
"266",266,"MBD2","P05","D07",610
"267",267,"SMAD4","P05","D08",682
"268",268,"TRANK1","P05","D09",481
"269",269,"HDAC7","P05","D10",636
"270",270,"EED","P05","D11",553
"271",271,"siPLIN1","P05","E02",1290
"272",272,"PTGES2","P05","E03",701
"273",273,"PIAS1","P05","E04",605
"274",274,"STK16","P05","E05",803
"275",275,"TRANK1","P05","E06",572
"276",276,"ATN1","P05","E07",576
"277",277,"EED","P05","E08",583
"278",278,"ASB8","P05","E09",714
"279",279,"MEF2C","P05","E10",609
"280",280,"EPC1","P05","E11",784
"281",281,"Neu. ctrl.","P05","F02",749
"282",282,"UBE2K","P05","F03",689
"283",283,"MBD2","P05","F04",658
"284",284,"TP53","P05","F05",766
"285",285,"KLF9","P05","F06",732
"286",286,"CNOT2","P05","F07",604
"287",287,"PIAS1","P05","F08",610
"288",288,"Neu. ctrl.","P05","F09",687
"289",289,"SMAD4","P05","F10",707
"290",290,"KLF9","P05","F11",652
"291",291,"siPLIN1","P05","G02",1320
"292",292,"EPC1","P05","G03",729
"293",293,"SMAD4","P05","G04",687
"294",294,"TRANK1","P05","G05",504
"295",295,"EED","P05","G06",596
"296",296,"HDAC7","P05","G07",673
"297",297,"STK16","P05","G08",798
"298",298,"NFKBIB","P05","G09",694
"299",299,"TP53","P05","G10",764
"300",300,"PTGES2","P05","G11",730
"301",301,"Neu. ctrl.","P06","B02",735
"302",302,"UBN1","P06","B03",818
"303",303,"KAT2A","P06","B04",593
"304",304,"ZMYND8","P06","B05",580
"305",305,"SIX1","P06","B06",708
"306",306,"RNF25","P06","B07",648
"307",307,"GTF2H1","P06","B08",817
"308",308,"CEBPA","P06","B09",558
"309",309,"ID3","P06","B10",668
"310",310,"ZNF326","P06","B11",595
"311",311,"siPLIN1","P06","C02",1293
"312",312,"SMAD5","P06","C03",612
"313",313,"GTF2H1","P06","C04",1181
"314",314,"RNF25","P06","C05",805
"315",315,"C19orf2","P06","C06",702
"316",316,"BHLHE41","P06","C07",691
"317",317,"UBN1","P06","C08",756
"318",318,"SMAD5","P06","C09",502
"319",319,"STAT6","P06","C10",735
"320",320,"Neu. ctrl.","P06","C11",721
"321",321,"Neu. ctrl.","P06","D02",723
"322",322,"C19orf2","P06","D03",661
"323",323,"SIX1","P06","D04",768
"324",324,"HIPK3","P06","D05",625
"325",325,"Neu. ctrl.","P06","D06",715
"326",326,"CEBPA","P06","D07",606
"327",327,"SMARCE1","P06","D08",622
"328",328,"SMARCD3","P06","D09",866
"329",329,"ZMYND8","P06","D10",569
"330",330,"SLC2A4RG","P06","D11",892
"331",331,"siPLIN1","P06","E02",1323
"332",332,"BHLHE41","P06","E03",794
"333",333,"KAT2A","P06","E04",580
"334",334,"ID3","P06","E05",689
"335",335,"SMARCD3","P06","E06",990
"336",336,"UBN1","P06","E07",889
"337",337,"SLC2A4RG","P06","E08",874
"338",338,"SIX1","P06","E09",748
"339",339,"C19orf2","P06","E10",645
"340",340,"HIPK3","P06","E11",678
"341",341,"Neu. ctrl.","P06","F02",731
"342",342,"GTF2H1","P06","F03",801
"343",343,"CEBPA","P06","F04",641
"344",344,"ZNF326","P06","F05",613
"345",345,"STAT6","P06","F06",746
